date,tweet_id,tweet_text,source,in_reply_to_screen_name,user_name,user_screen_name,location,user_url,n_followers,verified
2021-06-18 13:49:34,1405885402557386752,@MariaGu25381233 @Santi_ABASCAL Eso es cierto. 🤦‍♂️🤦‍♂️🤦‍♂️,Twitter for iPhone,MariaGu25381233,Doctor Incisivo,PabloWayne6,"Madrid, Comunidad de Madrid",https://twitter.com/PabloWayne6,1574,False
2021-06-18 13:49:15,1405885320168607748,"@AdryRo87 @Alvisepf @sanchezcastejon @Macarena_Olona @Santi_ABASCAL @IdiazAyuso @Tonicanto1 Gracias, pero ya tengo un trabajo, de hecho, estoy de vacaciones. Hasta más leer 👋🏻",Twitter for Android,AdryRo87,David,Dsagunt,,https://twitter.com/Dsagunt,3970,False
2021-06-18 13:46:45,1405884690947526656,"@Santi_ABASCAL DGA hizo una ley para cuando se acabase él estado de alarma y no se si podrá, después de ese consejo interterritorial, seguir obligando llevarlas",Twitter for Android,UsonBerta,Berta Uson Ibarz,UsonBerta,,https://twitter.com/UsonBerta,1849,False
2021-06-18 13:46:28,1405884623268237312,@Santi_ABASCAL Totalmente de acuerdo,Twitter for Android,Santi_ABASCAL,Rosa trenco Martínez,TrencoRosa,"Massamagrell, España",https://twitter.com/TrencoRosa,257,False
2021-06-18 13:46:12,1405884554318127114,"@BBVA_espana @Santi_ABASCAL @Macarena_Olona @ivanedlm Buenas tardes, tras tramitar esta mañana la reclamación con las indicaciones del director de la entidad ya se me ha solucionado, muchas gracias y disculpad mis insultos e euforia",Twitter for Android,BBVA_espana,Julio Romero,jromeroperez77,Badajoz,https://twitter.com/jromeroperez77,53,False
2021-06-18 13:46:07,1405884533392740356,"Así son las Denuncias Falsas¡
PARTE 1:
Aún probadas, NO son Condenadas.
ESCANDALOSO. Justificaciones de la Jueza: ""en su fuero interno"" o ""vio y creyó lo que su mente quiso ver y creer""
@Macarena_Olona @Alvisepf @okdiario @denunciafalsa @vox_es @Santi_ABASCAL @CeltiusAbogados https://t.co/uIlcaeuWSz",Twitter for Android,,Edu💚🇪🇦,Canario06111376,"Islas Canarias, España",https://twitter.com/Canario06111376,1578,False
2021-06-18 13:45:16,1405884319327993859,"@Santi_ABASCAL Perdón, Santiago hay una cosa que me gustaría preguntar es posible, pregunto, que aunque se decida en el consejo interterritorial de quitar la obligatoriedad de las mascarillas en los exteriores alguna comunidad autónoma, yo soy aragonesa obligue a llevarlas? Es que, creo que la",Twitter for Android,Santi_ABASCAL,Berta Uson Ibarz,UsonBerta,,https://twitter.com/UsonBerta,1849,False
2021-06-18 13:45:05,1405884275300487176,"@UnadeVox @Santi_ABASCAL no queremos que el país se vaya a l mi3rd4 con esos dos incomp3t3ntes, gracias😘",Twitter for iPhone,UnadeVox,chrome🦂,Chromefresh,,https://twitter.com/Chromefresh,371,False
2021-06-18 13:44:41,1405884172774825988,"Y así es como el gobierno maneja los tiempos y las noticias, pero ya estamos nosotros para recordarle. 
#SoloQuedaVox 
@Santi_ABASCAL https://t.co/e3VpwZX6az",Twitter for iPhone,,VOX Mejorada del Campo,Vox_Mejorada,"Mejorada del Campo, España",https://twitter.com/Vox_Mejorada,266,False
2021-06-18 13:44:31,1405884128977903621,@Santi_ABASCAL #SoloQuedaVox 💪💚🇪🇸,Twitter for iPhone,Santi_ABASCAL,AGR,Agr197Agr,,https://twitter.com/Agr197Agr,1067,False
2021-06-18 13:44:29,1405884121679814660,"@vdevendetta1570 @bread2g @rooney_v @Santi_ABASCAL En interiores si, en exteriores se ha visto que la protección es similar a no llevarla. Sólo hay que ver la evolución de la pandemia en Alemania para ver qué ha sido igual o mejor que aquí sin mascarilla en exteriores
Recuerdo que el mejor método es la distancia, no la mascarilla",Twitter for Android,vdevendetta1570,en sirius black,pirque07,"Ermua, Donosti, OB, Berlin...",https://twitter.com/pirque07,206,False
2021-06-18 13:44:18,1405884076859473923,@OSCARGFCD @Santi_ABASCAL VOX lo lleva pidiendo desde el primer día.,Twitter for Android,OSCARGFCD,🇪🇸🇪🇦🦠Pelayo 🦠🇪🇦🇪🇸,Manu35170490,España,https://twitter.com/Manu35170490,159,False
2021-06-18 13:42:48,1405883699367981061,@Santi_ABASCAL Lo tuyo es de traca,Twitter for iPhone,Santi_ABASCAL,Señor Mateos🇪🇸,SenorMateos19,España,https://twitter.com/SenorMateos19,48,False
